LDMK_NUM,LDMK_NAME,ORD_NUM,ORD_DATE,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_NOTES,CITY,STATE,ZIP,SITUS_NUM,SITUS_DIR,SITUS_ST,SITUS_TYPE,SITUS_APT,DIST_NUM,DIST_NAME,STATE_HIST_NUM,GLOBALID
59,Hitchings House,349,1974-05-28 00:00:00,,1620  Market ST,,,,,,1620,,Market,ST,,15,LOWER DOWNTOWN,5DV.47.37,{00000000-0000-0000-0000-000000000000}
60,Lieberhart/Lindner Building,349,1974-05-28 00:00:00,,1624  Market ST,,,,,,1624,,Market,ST,,15,LOWER DOWNTOWN,5DV.47.7,{00000000-0000-0000-0000-000000000000}
62,Commercial Building,349,1974-05-28 00:00:00,,1642  Market ST,,,,,,1642,,Market,ST,,15,LOWER DOWNTOWN,5DV.47.15,{00000000-0000-0000-0000-000000000000}
63,Commercial Building,349,1974-05-28 00:00:00,,1644  Market ST,1650,,,,,1644,,Market,ST,1650,15,LOWER DOWNTOWN,,{00000000-0000-0000-0000-000000000000}
64,Columbia Hotel,349,1974-05-28 00:00:00,,1322  17th ST,1350,,,,,1322,,17th,ST,1350,15,LOWER DOWNTOWN,5DV.47.38,{00000000-0000-0000-0000-000000000000}
66,St Elizabeths Chapel,625,1974-09-26 00:00:00,,2825 W 32nd AVE,,,,,,2825,W,32nd,AVE,,13,POTTER HIGHLANDS,5DV.129,{00000000-0000-0000-0000-000000000000}
67,St Andrews Memorial Chapel,625,1974-09-26 00:00:00,,2015  Glenarm PL,,,,,,2015,,Glenarm,PL,,4,CLEMENTS,5DV.116,{00000000-0000-0000-0000-000000000000}
113,Lobach House,769,1979-01-04 00:00:00,,2851  Perry ST,,,,,,2851,,Perry,ST,,NA,No District,,{00000000-0000-0000-0000-000000000000}
115,John Mitchell House,123,1979-03-30 00:00:00,,670  Clarkson ST,676,,,,,670,,Clarkson,ST,676,21,7TH AVENUE,,{00000000-0000-0000-0000-000000000000}
116,Lang/Zang House,261,1979-06-25 00:00:00,,1532  Emerson ST,,,,,,1532,,Emerson,ST,,NA,No District,5DV.130,{00000000-0000-0000-0000-000000000000}
